timestamp,open,high,low,close,volume
1700000000,161.2,161.7192,161.1974,161.5652,1364
1700000060,161.5652,162.0911,161.3788,161.9473,1087
1700000120,161.9473,162.0869,161.9258,162.0741,1604
1700000180,162.0741,162.1609,161.5993,161.645,901
1700000240,161.645,161.6819,161.255,161.4219,829
1700000300,161.4219,161.7142,161.4043,161.5857,1405
1700000360,161.5857,161.6644,161.4857,161.5971,1393
1700000420,161.5971,161.6918,161.315,161.4702,1289
1700000480,161.4702,162.1679,161.3637,161.9352,1318
1700000540,161.9352,162.1546,161.4548,161.5161,1349
1700000600,161.5161,161.9944,161.4552,161.9037,338
1700000660,161.9037,162.4943,161.7868,162.2631,1425
1700000720,162.2631,162.426,162.1294,162.3508,1552
1700000780,162.3508,162.5624,162.0319,162.2186,1384
1700000840,162.2186,162.2419,161.8924,162.0048,1255
1700000900,162.0048,162.5028,161.9803,162.402,1460
1700000960,162.402,162.4626,162.2868,162.4134,711
1700001020,162.4134,162.4449,162.1638,162.3254,998
1700001080,162.3254,162.4244,161.9814,162.2849,1203
1700001140,162.2849,162.3483,162.0296,162.1838,1581
1700001200,162.1838,162.2425,161.5407,161.7142,1372
1700001260,161.7142,162.0962,160.9568,161.0659,1467
1700001320,161.0659,161.3747,161.0169,161.0869,1345
1700001380,161.0869,161.2638,160.7756,160.9216,1467
1700001440,160.9216,160.9436,160.3791,160.7056,964
1700001500,160.7056,160.7702,160.4645,160.6451,868
1700001560,160.6451,160.8068,160.6222,160.6758,1369
1700001620,160.6758,161.1433,160.6026,161.1386,412
1700001680,161.1386,161.3367,160.9791,161.1645,1460
1700001740,161.1645,161.4976,161.1202,161.3526,1475
1700001800,161.3526,162.0385,161.0653,161.7322,885
1700001860,161.7322,161.8303,161.3528,161.4581,1384
1700001920,161.4581,162.0072,161.4509,161.9828,1422
1700001980,161.9828,162.0071,161.8447,161.8751,651
1700002040,161.8751,162.256,161.7246,162.2311,1512
1700002100,162.2311,162.4257,162.0347,162.3969,1129
1700002160,162.3969,163.1272,162.3895,163.0523,741
1700002220,163.0523,163.1964,162.9169,162.9839,944
1700002280,162.9839,163.3386,162.9832,163.2436,1309
1700002340,163.2436,163.6384,163.2286,163.6137,1180
1700002400,163.6137,163.6916,163.2278,163.4694,867
1700002460,163.4694,163.712,163.4196,163.6652,1018
1700002520,163.6652,164.3856,163.5149,164.1301,1053
1700002580,164.1301,164.5078,164.1057,164.2458,1326
1700002640,164.2458,164.3109,163.7307,163.9641,1299
1700002700,163.9641,164.3407,163.4488,163.5706,1376
1700002760,163.5706,163.8185,163.2581,163.2589,1394
1700002820,163.2589,163.3077,162.9474,162.9672,1423
1700002880,162.9672,163.3221,162.8478,163.2484,909
1700002940,163.2484,164.4864,163.0491,164.3106,521
1700003000,164.3106,164.9536,164.225,164.8249,1499
1700003060,164.8249,165.0391,164.6898,164.8927,1305
1700003120,164.8927,165.1355,164.858,165.1248,877
1700003180,165.1248,165.2984,164.2754,164.4639,1189
1700003240,164.4639,164.5481,164.3174,164.4301,1955
1700003300,164.4301,164.5184,164.1043,164.1049,1097
1700003360,164.1049,164.193,163.7515,163.8034,1059
1700003420,163.8034,163.935,163.7257,163.9203,1571
1700003480,163.9203,164.0166,163.5963,163.8224,1631
1700003540,163.8224,164.0299,163.71,163.8319,986
1700003600,163.8319,163.9219,163.4304,163.5216,1119
1700003660,163.5216,163.6278,163.3016,163.4758,1472
1700003720,163.4758,163.5978,163.3958,163.3965,1083
1700003780,163.3965,163.5336,162.3175,162.3745,1197
1700003840,162.3745,162.5388,162.0991,162.4271,948
1700003900,162.4271,162.7276,162.2754,162.6309,1675
1700003960,162.6309,162.8237,162.3026,162.5151,1164
1700004020,162.5151,163.0669,162.4492,163.0536,1621
1700004080,163.0536,163.2293,163.0014,163.1998,1294
1700004140,163.1998,163.2382,162.794,162.9785,907
1700004200,162.9785,163.2975,162.9636,163.0981,1546
1700004260,163.0981,163.7281,162.9692,163.5685,1372
1700004320,163.5685,163.5808,163.5367,163.5644,776
1700004380,163.5644,163.8058,163.3807,163.5281,1098
1700004440,163.5281,163.6478,163.2916,163.6443,764
1700004500,163.6443,163.7232,163.0361,163.1082,1115
1700004560,163.1082,163.3743,162.8974,163.2837,882
1700004620,163.2837,163.9291,163.2561,163.687,1420
1700004680,163.687,164.2512,163.5746,164.0965,996
1700004740,164.0965,164.1553,163.7053,163.9722,944
1700004800,163.9722,164.1416,163.961,164.1192,931
1700004860,164.1192,164.8124,163.9422,164.7001,787
1700004920,164.7001,165.0033,164.4661,164.7439,1582
1700004980,164.7439,165.0571,164.677,164.9754,895
1700005040,164.9754,165.2241,164.89,164.8946,1265
1700005100,164.8946,165.2103,164.6396,165.0861,610
1700005160,165.0861,165.317,164.7479,165.1077,1698
1700005220,165.1077,165.1871,164.2274,164.5215,1727
1700005280,164.5215,165.2924,164.5147,164.9496,1343
1700005340,164.9496,165.0454,164.5303,164.609,1577
1700005400,164.609,164.6195,164.3157,164.4163,1093
1700005460,164.4163,164.5189,164.252,164.5105,1031
1700005520,164.5105,164.7554,164.4431,164.5162,949
1700005580,164.5162,165.1042,164.4541,165.0108,1428
1700005640,165.0108,165.5773,164.9711,165.3835,1445
1700005700,165.3835,165.4657,165.2074,165.2293,1350
1700005760,165.2293,165.3986,164.5675,164.7086,618
1700005820,164.7086,164.7919,164.6157,164.6198,1197
1700005880,164.6198,164.7992,164.4304,164.6463,989
1700005940,164.6463,164.6813,164.3948,164.4326,1530
1700006000,164.4326,165.1146,164.4025,164.9606,1310
1700006060,164.9606,164.9809,164.5015,164.6411,1676
1700006120,164.6411,164.9647,164.6255,164.7431,1397
